name,label,label::French,region,village_name,supervisor
236,00236 - Guidan Gali,00236 - Guidan Gali,MARADI,Guidan Gali,sup25
278,00278 - Guidan Ganaou,00278 - Guidan Ganaou,MARADI,Guidan Ganaou,sup23
237,00237 - Guidan Goji,00237 - Guidan Goji,MARADI,Guidan Goji,sup25
114,00114 - Guidan Goula,00114 - Guidan Goula,MARADI,Guidan Goula,sup25
129,00129 - Guidan Guingama,00129 - Guidan Guingama,MARADI,Guidan Guingama,sup28
133,00133 - Guidan Jigo,00133 - Guidan Jigo,MARADI,Guidan Jigo,sup22
216,00216 - Guidan Jiji,00216 - Guidan Jiji,MARADI,Guidan Jiji,sup21
165,00165 - Guidan Kanda + Ignadou,00165 - Guidan Kanda + Ignadou,MARADI,Guidan Kanda + Ignadou,sup14
87,00087 - Guidan Kani,00087 - Guidan Kani,MARADI,Guidan Kani,sup25
233,00233 - Guidan Kawra,00233 - Guidan Kawra,MARADI,Guidan Kawra,sup25
218,00218 - Guidan Maida,00218 - Guidan Maida,MARADI,Guidan Maida,sup20
207,00207 - Guidan Manzo,00207 - Guidan Manzo,MARADI,Guidan Manzo,sup28
143,00143 - Guidan Nahantchi,00143 - Guidan Nahantchi,MARADI,Guidan Nahantchi,sup26
308,00308 - Guidan Rabo,00308 - Guidan Rabo,MARADI,Guidan Rabo,sup15
100,00100 - Guidan Sallao,00100 - Guidan Sallao,MARADI,Guidan Sallao,sup30
134,00134 - Guidan Taye,00134 - Guidan Taye,MARADI,Guidan Taye,sup22
242,00242 - Guidan Toulotou,00242 - Guidan Toulotou,MARADI,Guidan Toulotou,sup26
140,00140 - Guidan Wadel,00140 - Guidan Wadel,MARADI,Guidan Wadel,sup22
36,00036 - Guidan Zoudi,00036 - Guidan Zoudi,MARADI,Guidan Zoudi,sup30
164,00164 - Guidan Zougaou,00164 - Guidan Zougaou,MARADI,Guidan Zougaou,sup14
19,00019 - Guidane akali,00019 - Guidane akali,MARADI,Guidane akali,sup18
9,00009 - Guidane Alkou,00009 - Guidane Alkou,MARADI,Guidane Alkou,sup29
270,00270 - Guidane Atchi,00270 - Guidane Atchi,MARADI,Guidane Atchi,sup23
281,00281 - Guidane Atto,00281 - Guidane Atto,MARADI,Guidane Atto,sup23
192,00192 - Guidane Bagaouri,00192 - Guidane Bagaouri,MARADI,Guidane Bagaouri,sup30
17,00017 - Guidane Baje,00017 - Guidane Baje,MARADI,Guidane Baje,sup29
310,00310 - Guidane Barmo,00310 - Guidane Barmo,MARADI,Guidane Barmo,sup19
273,00273 - Guidane Basso,00273 - Guidane Basso,MARADI,Guidane Basso,sup22
73,00073 - Guidane Bizoo Dan Bako,00073 - Guidane Bizoo Dan Bako,MARADI,Guidane Bizoo Dan Bako,sup26
277,00277 - Guidane boune,00277 - Guidane boune,MARADI,Guidane boune,sup23
203,00203 - Guidane Bouzou,00203 - Guidane Bouzou,MARADI,Guidane Bouzou,sup16
27,00027 - Guidane Chantali,00027 - Guidane Chantali,MARADI,Guidane Chantali,sup14
92,00092 - Guidane Gari Saboua,00092 - Guidane Gari Saboua,MARADI,Guidane Gari Saboua,sup19
24,00024 - Guidane Gobro,00024 - Guidane Gobro,MARADI,Guidane Gobro,sup18
262,00262 - Guidane Hankourou,00262 - Guidane Hankourou,MARADI,Guidane Hankourou,sup23
188,00188 - Guidane Jalo,00188 - Guidane Jalo,MARADI,Guidane Jalo,sup23
271,00271 - Guidane Kiabe,00271 - Guidane Kiabe,MARADI,Guidane Kiabe,sup22
201,00201 - Guidane Kibia,00201 - Guidane Kibia,MARADI,Guidane Kibia,sup31
301,00301 - Guidane lale bakane,00301 - Guidan Lali,MARADI,Guidane lale bakane,sup21
97,00097 - Guidane Louche,00097 - Guidane Louche,MARADI,Guidane Louche,sup20
296,00296 - Guidane malam bakoye,00296 - Guidane malam bakoye,MARADI,Guidane malam bakoye,sup20
67,00067 - Guidane Moussa Koundou,00067 - Guidane Moussa Koundou,MARADI,Guidane Moussa Koundou,sup26
20,00020 - Guidane Nakaoura,00020 - Guidane Nakaoura,MARADI,Guidane Nakaoura,sup20
16,00016 - Guidane Roro,00016 - Guidane Roro,MARADI,Guidane Roro,sup29
62,00062 - Guidane Tangno,00062 - Guidane Tangno,MARADI,Guidane Tangno,sup26
72,00072 - Guidane Tangno,00072 - Guidane Tangno ,MARADI,Guidane Tangno,sup14
287,00287 - Guidane Yarima,00287 - Guidane Yarima,MARADI,Guidane Yarima,sup20
298,00298 - Guidane Zoudi,00298 - Guidane Zoudi,MARADI,Guidane Zoudi,sup21
76,00076 - Guintichire,00076 - Guintichire,MARADI,Guintichire,sup26
284,00284 - Halbawa  Goula,00284 - Halbawa  Goula,MARADI,Halbawa  Goula,sup21
305,00305 - Hamidan,00305 - Hamidan,MARADI,Hamidan,sup15
205,00205 - Hankaka,00205 - Hankaka,MARADI,Hankaka,sup27
288,00288 - Haouken Sara,00288 - Haouken Sara,MARADI,Haouken Sara,sup20
43,00043 - Ibbo,00043 - Ibbo,MARADI,Ibbo,sup15
82,00082 - In Walla  ,00082 - In Walla  ,MARADI,In Walla  ,sup20
193,00193 - In Walla Na Jiga,00193 - In Walla Na Jiga,MARADI,In Walla Na Jiga,sup31
99,00099 - Ingawa,00099 - Ingawa,MARADI,Ingawa,sup22
59,00059 - Inguididey,00059 - Inguididey,MARADI,Inguididey,sup28
89,00089 - Inwalla Rigia Jibo,00089 - Inwalla Rigia Jibo,MARADI,Inwalla Rigia Jibo,sup28
245,00245 - Inyalwa,00245 - Inyalwa,MARADI,Inyalwa,sup25
156,00156 - Jean Roua,00156 - Jean Roua,MARADI,Jean Roua,sup29
311,311 - Jembali,311 - Jembali,MARADI,Jembali,sup17
275,00275 - Jimke School,00275 - Jimke School,MARADI,Jimke School,sup22
132,00132 - Jumina,00132 - Jumina,MARADI,Jumina,sup22
30,00030 - kabra,00030 - kabra,MARADI,kabra,sup18
220,00220 - Kagoum,00220 - Kagoum,MARADI,Kagoum,sup22
14,00014 - Kahin chantali,00014 - Kahin chantali,MARADI,Kahin chantali,sup29
98,00098 - Kaka Haoussa,00098 - Kaka Haoussa,MARADI,Kaka Haoussa,sup21
71,00071 - Kakali,00071 - Kakali,MARADI,Kakali,sup26
112,00112 - Kakou Tisalaou,00112 - Kakou Tisalaou,MARADI,Kakou Tisalaou,sup22
77,00077 - Kandala,00077 - Kandala,MARADI,Kandala,sup26
286,00286 - Kankaren Dogo,00286 - Kankaren Dogo,MARADI,Kankaren Dogo,sup21
264,00264 - Kankaren Gakoy,00264 - Kankaren Gakoy,MARADI,Kankaren Gakoy,sup21
208,00208 - Karam Karam,00208 - Karam Karam,MARADI,Karam Karam,sup28
1,00001 - Karoubouni,00001 - Karoubouni,MARADI,Karoubouni,sup30
266,00266 - Katare,00266 - Katare,MARADI,Katare,sup23
247,00247 - Katari Dan Makaou,00247 - Katari Dan Makaou,MARADI,Katari Dan Makaou,sup17
141,00141 - kawanya,00141 - Kawanya,MARADI,Kawanya,sup31
293,00293 - Kawfasamo,00293 - Kawfasamo,MARADI,Kawfasamo,sup20
204,00204 - Kdadkaye,00204 - Kdadkaye,MARADI,Kdadkaye,sup30
142,00142 - Kelewei,00142 - Kelewei,MARADI,Kelewei,sup28
108,00108 - Koligoti,00108 - Koligoti,MARADI,Koligoti,sup26
11,00011 - Kongomi,00011 - Kongomi,MARADI,Kongomi,sup14
57,00057 - kordosso,00057 - kordosso,MARADI,kordosso,sup18
169,00169 - Kori',00169 - Kori',MARADI,Kori',sup31
292,00292 - kotia,00292 - kotia,MARADI,kotia,sup20
167,00167 - Koubdo Soboua,00167 - Koubdo Soboua,MARADI,Koubdo Soboua,sup31
35,00035 - Koubdo Soufoua,00035 - Koubdo Soufoua,MARADI,Koubdo Soufoua,sup31
300,00300 - Kouka Dan Houwa,00300 - Kouka Dan Houwa,MARADI,Kouka Dan Houwa,sup16
23,00023 - kouka kawadi,00023 - kouka kawadi,MARADI,kouka kawadi,sup18
199,00199 - Koukou Yousoufou,00199 - Koukou Yousoufou,MARADI,Koukou Yousoufou,sup31
116,00116 - Kouletche Safoa,00116 - Kouletche Safoa,MARADI,Kouletche Safoa,sup25
85,00085 - Koumtchi,00085 - Koumtchi,MARADI,Koumtchi,sup28
45,00045 - Koutchatcha,00045 - Koutchatcha,MARADI,Koutchatcha,sup26
244,00244 - Laoudi Saoudi,00244 - Laoudi Saoudi,MARADI,Laoudi Saoudi,sup17
31,00031 - Laouni,00031 - Laouni,MARADI,Laouni,sup14
155,00155 - Lebo Sofoua,00155 - Lebo Sofoua,MARADI,Lebo Sofoua,sup14
160,00160 - Limbidoua (Jimbidaoua),00160 - Limbidoua (Jimbidaoua),MARADI,Limbidoua (Jimbidaoua),sup14
25,00025 - Madaoua Milli,00025 - Madaoua Milli,MARADI,Madaoua Milli,sup14
213,00213 - Mai Kassoua,00213 - Mai Kassoua,MARADI,Mai Kassoua,sup21
168,00168 - Maiguizawa Kangnou,00168 - Maiguizawa Kangnou,MARADI,Maiguizawa Kangnou,sup30
58,00058 - Maimagaria,00058 - Maimagaria,MARADI,Maimagaria,sup14
