name,label,label::French,label::English,region,department,commune,village_name,supervisors
191,00191 - Dan Moussa,00191 - Dan Moussa,00191 - Dan Moussa,MARADI,tessaoua,tessaoua,Dan Moussa,sup31
121,00121 - Dan Nari Roro,00121 - Dan Nari Roro,00121 - Dan Nari Roro,MARADI,dakoro,bader_goula,Dan Nari Roro,sup15
159,00159 - Dan Rago,00159 - Dan Rago,00159 - Dan Rago,MARADI,gazaoua,gazaoua,Dan Rago,sup14
291,00291 - Dan Rani,00291 - Dan Rani,00291 - Dan Rani,MARADI,mayahi,mayahi,Dan Rani,sup20
243,00243 - Dan Tabki,00243 - Dan Tabki,00243 - Dan Tabki,MARADI,dakoro,dan_goulbi,Dan Tabki,sup17
78,00078 - Dan Tchake',00078 - Dan Tchake',00078 - Dan Tchake',MARADI,dakoro,dakoro_north,Dan Tchake,su77
217,00217 - Dan Toudou,00217 - Dan Toudou,00217 - Dan Toudou,MARADI,mayahi,mayahi,Dan Toudou,sup21
49,00049 - Danby Dan Aya,00049 - Danby Dan Aya,00049 - Danby Dan Aya,MARADI,dakoro,dakoro_south,Danby Dan Aya,sup26
53,00053 - Dangali,00053 - Dangali,00053 - Dangali,MARADI,aguie,tchadoua,Dangali,sup30
6,00006 - Danjiko,00006 - Danjiko,00006 - Danjiko,MARADI,gazaoua,gazaoua,Danjiko,sup14
313,00313 - Dantchiaco,00313 - Dantchiaco,00313 - Dantchiaco,MARADI,dakoro,dakoro_north,Dantchiaco,sup26
74,00074 - Daouya,00074 - Daouya,00074 - Daouya,MARADI,dakoro,dakoro_south,Daouya,sup26
47,00047 - Dawdawa,00047 - Dawdawa,00047 - Dawdawa,MARADI,bermo,bermo,Dawdawa,sup16
239,00239 - Dembebe,00239 - Dembebe,00239 - Dembebe,MARADI,dakoro,dan_goulbi,Dembebe,sup17
152,00152 - Dodo Maradi,00152 - Dodo Maradi,00152 - Dodo Maradi,MARADI,gazaoua,gazaoua,Dodo Maradi,sup14
128,00128 - Dogon Dawa,00128 - Dogon Dawa,00128 - Dogon Dawa,MARADI,tessaoua,ourafane_south,Dogon Dawa,sup28
309,00309 - Dogon Jima,00309 - Dogon Jima,00309 - Dogon Jima,MARADI,dakoro,kornaka,Dogon Jima,sup19
41,00041 - Dogon Makotchi,00041 - Dogon Makotchi,00041 - Dogon Makotchi,MARADI,dakoro,bader_goula,Dogon Makotchi,sup15
18,00018 - Douma 2,00018 - Douma 2,00018 - Douma 2,MARADI,gazaoua,gazaoua,Douma 2,sup29
8,00008 - Dourgou,00008 - Dourgou,00008 - Dourgou,MARADI,gazaoua,gazaoua,Dourgou,sup14
314,00314 - Duidanatcha,00314 - Duidanatcha,00314 - Duidanatcha,MARADI,tessaoua,ourafane_south,Duidanatcha,sup28
302,00302 - Edo Gadania,00302 - Edo Gadania,00302 - Edo Gadania,MARADI,bermo,bermo,Edo Gadania,sup16
69,00069 - Eloum,00069 - Eloum,00069 - Eloum,MARADI,dakoro,dakoro_south,Eloum,sup26
40,00040 - Fadadou,00040 - Fadadou,00040 - Fadadou,MARADI,bermo,bermo,Fadadou,sup16
268,00268 - Fadama,00268 - Fadama,00268 - Fadama,MARADI,mayahi,mayahi_west,Fadama,sup22
180,00180 - Fagamniya,00180 - Fagamniya,00180 - Fagamniya,MARADI,mayahi,mayahi_south,Fagamniya,sup27
106,00106 - Fara,00106 - Fara,00106 - Fara,MARADI,gazaoua,gazaoua,Fara,sup14
315,00315 - Farara,00315 - Farara,00315 - Farara,MARADI,dakoro,dakoro_north,Farara,sup26
72,00072 - Faray,00072 - Faray,00072 - Faray,MARADI,dakoro,dakoro_south,Faray,sup77
289,00289 - Farm Well,00289 - Farm Well,00289 - Farm Well,MARADI,mayahi,mayahi,Farm Well,sup77
260,00260 - Farou Bakoye,00260 - Farou Bakoye,00260 - Farou Bakoye,MARADI,mayahi,mayahi_north,Farou Bakoye,sup23
232,00232 - G.Serkin Makira,00232 - G.Serkin Makira,00232 - G.Serkin Makira,MARADI,tessaoua,ourafane_north,G.Serkin Makira,sup25
316,00316 - Gajiri Saboua,00316 - Gajiri Saboua,00316 - Gajiri Saboua,MARADI,dakoro,kornaka,Gajiri Saboua,sup19
4,00004 - Galoube,00004 - Galoube,00004 - Galoube,MARADI,guidan_roumji,guidan_roumji,Galoube,sup18
252,00252 - Gangara,00252 - Gangara,00252 - Gangara,MARADI,mayahi,mayahi_north,Gangara,sup22
118,00118 - Garin Aman Tinaou,00118 - Garin Aman Tinaou,00118 - Garin Aman Tinaou,MARADI,dakoro,bader_goula,Garin Aman Tinaou,sup15
146,00146 - Garin Bara Gaoudare,00146 - Garin Bara Gaoudare,00146 - Garin Bara Gaoudare,MARADI,dakoro,dan_goulbi,Garin Bara Gaoudare,sup17
28,00028 - Garin Bizoo,00028 - Garin Bizoo,00028 - Garin Bizoo,MARADI,guidan_roumji,guidan_roumji,Garin Bizoo,sup18
298,00298 - Garin Bouzou,00298 - Garin Bouzou,00298 - Garin Bouzou,MARADI,bermo,bermo,Garin Bouzou,sup77
33,00033 - Garin koutoubo,00033 - Garin koutoubo,00033 - Garin koutoubo,MARADI,guidan_roumji,guidan_roumji,Garin koutoubo,sup18
176,00176 - Garin Maroussa,00176 - Garin Maroussa,00176 - Garin Maroussa,MARADI,aguie,tchadoua,Garin Maroussa,sup30
111,00111 - Garjagaou,00111 - Garjagaou,00111 - Garjagaou,MARADI,aguie,tchadoua,Garjagaou,sup29
136,00136 - Gasawa,00136 - Gasawa,00136 - Gasawa,MARADI,mayahi,mayahi_north,Gasawa,sup22
157,00157 - Giudan Chadou,00157 - Giudan Chadou,00157 - Giudan Chadou,MARADI,gazaoua,gazaoua,Giudan Chadou,sup29
141,00141 - Gobrawe,00141 - Gobrawe,00141 - Gobrawe,MARADI,tessaoua,ourafane_south,Gobrawe,sup77
301,00301 - Goda Maynasara,00301 - Goda Maynasara,00301 - Goda Maynasara,MARADI,dakoro,dan_goulbi,Goda Maynasara,sup17
48,00048 - Goda2- Guidan Kounao,00048 - Goda2- Guidan Kounao,00048 - Goda2- Guidan Kounao,MARADI,dakoro,dakoro_south,Goda2- Guidan Kounao,sup26
101,00101 - Gododji,00101 - Gododji,00101 - Gododji,MARADI,aguie,tchadoua,Gododji,sup30
235,00235 - Goudougwa,00235 - Goudougwa,00235 - Goudougwa,MARADI,tessaoua,ourafane_north,Goudougwa,sup25
179,00179 - Gourbabo,00179 - Gourbabo,00179 - Gourbabo,MARADI,dakoro,kornaka,Gourbabo,sup19
231,00231 - Gourgoumgao,00231 - Gourgoumgao,00231 - Gourgoumgao,MARADI,tessaoua,ourafane_north,Gourgoumgao,sup25
257,00257 - Guidan Abdou,00257 - Guidan Abdou,00257 - Guidan Abdou,MARADI,mayahi,mayahi_north,Guidan Abdou,sup22
317,00317 - Guidan Abdou Maybarewa,00317 - Guidan Abdou Maybarewa,00317 - Guidan Abdou Maybarewa,MARADI,dakoro,kornaka,Guidan Abdou Maybarewa,sup19
227,00227 - Guidan Agali,00227 - Guidan Agali,00227 - Guidan Agali,MARADI,tessaoua,ourafane_south,Guidan Agali,sup28
197,00197 - Guidan Alley,00197 - Guidan Alley,00197 - Guidan Alley,MARADI,tessaoua,tessaoua,Guidan Alley,sup31
44,00044 - Guidan Aman,00044 - Guidan Aman,00044 - Guidan Aman,MARADI,dakoro,bader_goula,Guidan Aman,sup15
258,00258 - Guidan Antou,00258 - Guidan Antou,00258 - Guidan Antou,MARADI,mayahi,mayahi_north,Guidan Antou,sup22
55,00055 - Guidan Arzika,00055 - Guidan Arzika,00055 - Guidan Arzika,MARADI,mayahi,mayahi_south,Guidan Arzika,sup27
130,00130 - Guidan Atcha,00130 - Guidan Atcha,00130 - Guidan Atcha,MARADI,tessaoua,ourafane_south,Guidan Atcha,sup28
61,00061 - Guidan Atche,00061 - Guidan Atche,00061 - Guidan Atche,MARADI,tessaoua,ourafane_south,Guidan Atche,sup28
230,00230 - Guidan Barouma,00230 - Guidan Barouma,00230 - Guidan Barouma,MARADI,tessaoua,ourafane_north,Guidan Barouma,sup25
135,00135 - Guidan Booka,00135 - Guidan Booka,00135 - Guidan Booka,MARADI,mayahi,mayahi_north,Guidan Booka,sup22
269,00269 - Guidan Bouja,00269 - Guidan Bouja,00269 - Guidan Bouja,MARADI,mayahi,mayahi_north,Guidan Bouja,sup23
234,00234 - Guidan Boukari,00234 - Guidan Boukari,00234 - Guidan Boukari,MARADI,tessaoua,ourafane_north,Guidan Boukari,sup25
318,00318 - Guidan Bouzou,00318 - Guidan Bouzou,00318 - Guidan Bouzou,MARADI,aguie,tchadoua,Guidan Bouzou,sup30
119,00119 - Guidan Dan Osmane,00119 - Guidan Dan Osmane,00119 - Guidan Dan Osmane,MARADI,dakoro,bader_goula,Guidan Dan Osmane,sup15
236,00236 - Guidan Gali,00236 - Guidan Gali,00236 - Guidan Gali,MARADI,tessaoua,ourafane_south,Guidan Gali,sup25
186,00186 - Guidan Gamaoua (Karma),00186 - Guidan Gamaoua (Karma),00186 - Guidan Gamaoua (Karma),MARADI,mayahi,mayahi_south,Guidan Gamaoua (Karma),sup27
278,00278 - Guidan Ganaou,00278 - Guidan Ganaou,00278 - Guidan Ganaou,MARADI,mayahi,mayahi_middle,Guidan Ganaou,sup23
237,00237 - Guidan Goji,00237 - Guidan Goji,00237 - Guidan Goji,MARADI,tessaoua,ourafane_north,Guidan Goji,sup25
114,00114 - Guidan Goula,00114 - Guidan Goula,00114 - Guidan Goula,MARADI,tessaoua,ourafane_north,Guidan Goula,sup25
