name,village_name,region,department,commune,supervisor
218,Guidan Maida,MARADI,mayahi,mayahi,sup20
207,Guidan Manzo,MARADI,tessaoua,ourafane_south,sup28
143,Guidan Nahantchi,MARADI,dakoro,dakoro_south,sup26
308,Guidan Rabo,MARADI,dakoro,bader_goula,sup15
100,Guidan Sallao,MARADI,aguie,tchadoua,sup30
134,Guidan Taye,MARADI,mayahi,mayahi_north,sup22
242,Guidan Toulotou,MARADI,dakoro,dan_goulbi,sup26
140,Guidan Wadel,MARADI,mayahi,mayahi_north,sup22
36,Guidan Zoudi,MARADI,aguie,tchadoua,sup30
164,Guidan Zougaou,MARADI,gazaoua,gazaoua,sup14
19,Guidane akali,MARADI,guidan_roumji,guidan_roumji,sup18
9,Guidane Alkou,MARADI,aguie,tchadoua,sup29
270,Guidane Atchi,MARADI,mayahi,mayahi_north,sup23
281,Guidane Atto,MARADI,mayahi,mayahi_west,sup23
192,Guidane Bagaouri,MARADI,aguie,tchadoua,sup30
17,Guidane Baje,MARADI,gazaoua,gazaoua,sup29
310,Guidane Barmo,MARADI,dakoro,kornaka,sup19
273,Guidane Basso,MARADI,mayahi,mayahi,sup22
73,Guidane Bizoo Dan Bako,MARADI,dakoro,dakoro_south,sup26
277,Guidane boune,MARADI,mayahi,mayahi_west,sup23
203,Guidane Bouzou,MARADI,aguie,tchadoua,sup16
27,Guidane Chantali,MARADI,gazaoua,gazaoua,sup14
92,Guidane Gari Saboua,MARADI,dakoro,kornaka,sup19
24,Guidane Gobro,MARADI,guidan_roumji,guidan_roumji,sup18
262,Guidane Hankourou,MARADI,mayahi,mayahi_west,sup23
188,Guidane Jalo,MARADI,mayahi,mayahi_south,sup23
271,Guidane Kiabe,MARADI,mayahi,mayahi_north,sup22
201,Guidane Kibia,MARADI,aguie,tchadoua,sup31
301,Guidane lale bakane,MARADI,dakoro,dan_goulbi,sup21
97,Guidane Louche,MARADI,mayahi,mayahi,sup20
296,Guidane malam bakoye,MARADI,mayahi,mayahi,sup20
67,Guidane Moussa Koundou,MARADI,dakoro,dakoro_south,sup26
20,Guidane Nakaoura,MARADI,mayahi,mayahi_middle,sup20
16,Guidane Roro,MARADI,gazaoua,gazaoua,sup29
62,Guidane Tangno,MARADI,dakoro,dakoro,sup26
72,Guidane Tangno,MARADI,dakoro,dakoro_south,sup14
287,Guidane Yarima,MARADI,mayahi,mayahi,sup20
298,Guidane Zoudi,MARADI,bermo,bermo,sup21
76,Guintichire,MARADI,dakoro,dakoro_south,sup26
284,Halbawa  Goula,MARADI,mayahi,mayahi_middle,sup21
305,Hamidan,MARADI,dakoro,bader_goula,sup15
205,Hankaka,MARADI,mayahi,mayahi_south,sup27
288,Haouken Sara,MARADI,mayahi,mayahi,sup20
43,Ibbo,MARADI,dakoro,bader_goula,sup15
82,In Walla,MARADI,mayahi,mayahi,sup20
193,In Walla Na Jiga,MARADI,tessaoua,tessaoua,sup31
99,Ingawa,MARADI,mayahi,mayahi_north,sup22
59,Inguididey,MARADI,tessaoua,ourafane_south,sup28
89,Inwalla Rigia Jibo,MARADI,tessaoua,ourafane_south,sup28
245,Inyalwa,MARADI,dakoro,dan_goulbi,sup25
156,Jean Roua,MARADI,gazaoua,gazaoua,sup29
311,Jembali,MARADI,dakoro,kornaka,sup17
275,Jimke School,MARADI,mayahi,mayahi_north,sup22
132,Jumina,MARADI,mayahi,mayahi_north,sup22
30,kabra,MARADI,guidan_roumji,guidan_roumji,sup18
220,Kagoum,MARADI,mayahi,mayahi_north,sup22
14,Kahin chantali,MARADI,gazaoua,gazaoua,sup29
98,Kaka Haoussa,MARADI,mayahi,mayahi,sup21
